Race,Bioguide ID,Name,New Member?,Party (D/R/I),Caucus If Independent,First Name,Middle Name,Last Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),FEC.gov ID,Wikipedia URL
NY06,M001188,Grace Meng,,D,D,Grace,,Meng,,F,,,
NY07,V000081,Nydia Velázquez,,D,D,Nydia,M.,Velázquez,,F,,,
NY08,J000294,Hakeem Jeffries,,D,D,Hakeem,S.,Jeffries,,M,,,
NY09,C001067,Yvette Clarke,,D,D,Yvette,D.,Clarke,,F,,,
NY10,G000599,Daniel Goldman,,D,D,Daniel,S.,Goldman,,M,,,
NY11,M000317,Nicole Malliotakis,,R,R,Nicole,,Malliotakis,,F,,,
NY12,N000002,Jerrold Nadler,,D,D,Jerrold,,Nadler,,M,,,
NY13,E000297,Adriano Espaillat,,D,D,Adriano,,Espaillat,,M,,,
NY14,O000172,Alexandria Ocasio-Cortez,,D,D,Alexandria,,Ocasio-Cortez,,F,,,
NY15,T000486,Ritchie Torres,,D,D,Ritchie,,Torres,,M,,,
NY16,L000606,George Latimer,NEW,D,,George,Stephen,Latimer,,M,1953-11-22,H4NY16087,https://en.wikipedia.org/wiki/George_Latimer_(New_York_politician)
NY17,L000599,Michael Lawler,,R,R,Michael,,Lawler,,M,,,
NY18,R000579,Patrick Ryan,,D,D,Patrick,,Ryan,,M,,,
NY19,R000622,Josh Riley,NEW,D,,Josh,Paul,Riley,,M,1981-01-21,H8NY22177,https://en.wikipedia.org/wiki/Josh_Riley
NY20,T000469,Paul Tonko,,D,D,Paul,,Tonko,,M,,,
NY21,S001196,Elise Stefanik,,R,R,Elise,M.,Stefanik,,F,,,
NY22,M001231,John Mannion,NEW,D,,John,W.,Mannion,,M,1968-07-08,H4NY22085,https://en.wikipedia.org/wiki/John_Mannion_(American_politician)
NY23,L000600,Nicholas Langworthy,,R,R,Nicholas,A.,Langworthy,,M,,,
NY24,T000478,Claudia Tenney,,R,R,Claudia,,Tenney,,F,,,
NY25,M001206,Joseph Morelle,,D,D,Joseph,D.,Morelle,,M,,,
NY26,K000402,Timothy Kennedy,,D,D,Timothy,M.,Kennedy,,M,,,
OH01,L000601,Greg Landsman,,D,D,Greg,,Landsman,,M,,,
OH02,T000490,David Taylor,NEW,R,,David,J.,Taylor,,M,1969-11-16,H4OH02248,https://en.wikipedia.org/wiki/David_Taylor_(Ohio_politician)
OH03,B001281,Joyce Beatty,,D,D,Joyce,,Beatty,,F,,,
OH04,J000289,Jim Jordan,,R,R,Jim,,Jordan,,M,,,
OH05,L000566,Robert Latta,,R,R,Robert,E.,Latta,,M,,,
OH06,R000619,Michael Rulli,,R,R,Michael,A.,Rulli,,M,,,
OH07,M001222,Max Miller,,R,R,Max,L.,Miller,,M,,,
OH08,D000626,Warren Davidson,,R,R,Warren,,Davidson,,M,,,
OH09,K000009,Marcy Kaptur,,D,D,Marcy,,Kaptur,,F,,,
OH10,T000463,Michael Turner,,R,R,Michael,R.,Turner,,M,,,
OH11,B001313,Shontel Brown,,D,D,Shontel,M.,Brown,,F,,,
OH12,B001306,Troy Balderson,,R,R,Troy,,Balderson,,M,,,
OH13,S001223,Emilia Sykes,,D,D,Emilia,Strong,Sykes,,F,,,
OH14,J000295,David Joyce,,R,R,David,P.,Joyce,,M,,,
OH15,C001126,Mike Carey,,R,R,Mike,,Carey,,M,,,
OK01,H001082,Kevin Hern,,R,R,Kevin,,Hern,,M,,,
OK02,B001317,Josh Brecheen,,R,R,Josh,,Brecheen,,M,,,
OK03,L000491,Frank Lucas,,R,R,Frank,D.,Lucas,,M,,,
OK04,C001053,Tom Cole,,R,R,Tom,,Cole,,M,,,
OK05,B000740,Stephanie Bice,,R,R,Stephanie,I.,Bice,,F,,,
OR01,B001278,Suzanne Bonamici,,D,D,Suzanne,,Bonamici,,F,,,
OR02,B000668,Cliff Bentz,,R,R,Cliff,,Bentz,,M,,,
OR03,D000635,Maxine Dexter,NEW,D,,Maxine,Elizabeth,Dexter,,F,1972-12-05,H4OR03192,https://en.wikipedia.org/wiki/Maxine_Dexter
OR04,H001094,Val Hoyle,,D,D,Val,T.,Hoyle,,F,,,
OR05,B001326,Janelle Bynum,NEW,D,,Janelle,S.,Bynum,,F,1975-01-31,H4OR05304,https://en.wikipedia.org/wiki/Janelle_Bynum
OR06,S001226,Andrea Salinas,,D,D,Andrea,,Salinas,,F,,,
PA01,F000466,Brian Fitzpatrick,,R,R,Brian,K.,Fitzpatrick,,M,,,
PA02,B001296,Brendan Boyle,,D,D,Brendan,F.,Boyle,,M,,,
PA03,E000296,Dwight Evans,,D,D,Dwight,,Evans,,M,,,
PA04,D000631,Madeleine Dean,,D,D,Madeleine,,Dean,,F,,,
PA05,S001205,Mary Gay Scanlon,,D,D,Mary Gay,,Scanlon,,F,,,
PA06,H001085,Chrissy Houlahan,,D,D,Chrissy,,Houlahan,,F,,,
PA07,M001230,Ryan Mackenzie,NEW,R,,Ryan,Edward,Mackenzie,,M,1982-08-03,H8PA15195,https://en.wikipedia.org/wiki/Ryan_Mackenzie
PA08,B001327,Robert Bresnahan,NEW,R,,Robert,P.,Bresnahan,Jr.,M,1990-04-22,H4PA08124,https://en.wikipedia.org/wiki/Rob_Bresnahan
PA09,M001204,Daniel Meuser,,R,R,Daniel,,Meuser,,M,,,
PA10,P000605,Scott Perry,,R,R,Scott,,Perry,,M,,,
PA11,S001199,Lloyd Smucker,,R,R,Lloyd,,Smucker,,M,,,
PA12,L000602,Summer Lee,,D,D,Summer,L.,Lee,,F,,,
PA13,J000302,John Joyce,,R,R,John,,Joyce,,M,,,
PA14,R000610,Guy Reschenthaler,,R,R,Guy,,Reschenthaler,,M,,,
PA15,T000467,Glenn Thompson,,R,R,Glenn,,Thompson,,M,,,
PA16,K000376,Mike Kelly,,R,R,Mike,,Kelly,,M,,,
PA17,D000530,Christopher Deluzio,,D,D,Christopher,R.,Deluzio,,M,,,
PR00,H001103,Pablo Hernández,NEW,D,,Pablo José,,Hernández Rivera,,M,1991-05-11,H4PR01010,https://en.wikipedia.org/wiki/Pablo_Hern%C3%A1ndez_Rivera
RI01,A000380,Gabe Amo,,D,D,Gabe,,Amo,,M,,,
RI02,M001223,Seth Magaziner,,D,D,Seth,,Magaziner,,M,,,
SC01,M000194,Nancy Mace,,R,R,Nancy,,Mace,,F,,,
SC02,W000795,Joe Wilson,,R,R,Joe,,Wilson,,M,,,
SC03,B001325,Sheri Biggs,NEW,R,,Sheri,Lynn,Biggs,,F,1970-03-28,H4SC01313,https://en.wikipedia.org/wiki/Sheri_Biggs
SC04,T000480,William Timmons,,R,R,William,R.,Timmons,IV,M,,,
SC05,N000190,Ralph Norman,,R,R,Ralph,,Norman,,M,,,
SC06,C000537,James Clyburn,,D,D,James,E.,Clyburn,,M,,,
SC07,F000478,Russell Fry,,R,R,Russell,,Fry,,M,,,
SD00,J000301,Dusty Johnson,,R,R,Dusty,,Johnson,,M,,,
TN01,H001086,Diana Harshbarger,,R,R,Diana,,Harshbarger,,F,,,
TN02,B001309,Tim Burchett,,R,R,Tim,,Burchett,,M,,,
TN03,F000459,Charles Fleischmann,,R,R,Charles,"J. ""Chuck""",Fleischmann,,M,,,
TN04,D000616,Scott DesJarlais,,R,R,Scott,,DesJarlais,,M,,,
TN05,O000175,Andrew Ogles,,R,R,Andrew,,Ogles,,M,,,
TN06,R000612,John Rose,,R,R,John,W.,Rose,,M,,,
TN07,G000590,Mark Green,,R,R,Mark,E.,Green,,M,,,
TN08,K000392,David Kustoff,,R,R,David,,Kustoff,,M,,,
TN09,C001068,Steve Cohen,,D,D,Steve,,Cohen,,M,,,
TX01,M001224,Nathaniel Moran,,R,R,Nathaniel,,Moran,,M,,,
TX02,C001120,Dan Crenshaw,,R,R,Dan,,Crenshaw,,M,,,
TX03,S001224,Keith Self,,R,R,Keith,,Self,,M,,,
TX04,F000246,Pat Fallon,,R,R,Pat,,Fallon,,M,,,
TX05,G000589,Lance Gooden,,R,R,Lance,,Gooden,,M,,,
TX06,E000071,Jake Ellzey,,R,R,Jake,,Ellzey,,M,,,
TX07,F000468,Lizzie Fletcher,,D,D,Lizzie,,Fletcher,,F,,,
TX08,L000603,Morgan Luttrell,,R,R,Morgan,,Luttrell,,M,,,
TX09,G000553,Al Green,,D,D,Al,,Green,,M,,,
TX10,M001157,Michael McCaul,,R,R,Michael,T.,McCaul,,M,,,
TX11,P000048,August Pfluger,,R,R,August,,Pfluger,,M,,,
TX12,G000601,Craig Goldman,NEW,R,,Craig,A.,Goldman,,M,1968-10-03,H4TX12065,https://en.wikipedia.org/wiki/Craig_Goldman
TX13,J000304,Ronny Jackson,,R,R,Ronny,,Jackson,,M,,,
TX14,W000814,Randy Weber,,R,R,Randy,K.,Weber,Sr.,M,,,
TX15,D000594,Monica De La Cruz,,R,R,Monica,,De La Cruz,,F,,,
TX16,E000299,Veronica Escobar,,D,D,Veronica,,Escobar,,F,,,
TX17,S000250,Pete Sessions,,R,R,Pete,,Sessions,,M,,,
TX18,T000489,Sylvester Turner,NEW,D,,Sylvester,,Turner,,M,1954-09-27,H4TX18237,https://en.wikipedia.org/wiki/Sylvester_Turner
TX19,A000375,Jodey Arrington,,R,R,Jodey,C.,Arrington,,M,,,
TX20,C001091,Joaquin Castro,,D,D,Joaquin,,Castro,,M,,,
TX21,R000614,Chip Roy,,R,R,Chip,,Roy,,M,,,
TX22,N000026,Troy Nehls,,R,R,Troy,E.,Nehls,,M,,,
TX23,G000594,Tony Gonzales,,R,R,Tony,,Gonzales,,M,,,
TX24,V000134,Beth Van Duyne,,R,R,Beth,,Van Duyne,,F,,,
TX25,W000816,Roger Williams,,R,R,Roger,,Williams,,M,,,
TX26,G000603,Brandon Gill,NEW,R,,Brandon,Gene,Gill,,M,1994-02-26,H4TX26149,https://en.wikipedia.org/wiki/Brandon_Gill
TX27,C001115,Michael Cloud,,R,R,Michael,,Cloud,,M,,,
TX28,C001063,Henry Cuellar,,D,D,Henry,,Cuellar,,M,,,
TX29,G000587,Sylvia Garcia,,D,D,Sylvia,R.,Garcia,,F,,,
TX30,C001130,Jasmine Crockett,,D,D,Jasmine,,Crockett,,F,,,
TX31,C001051,John Carter,,R,R,John,R.,Carter,,M,,,
TX32,J000310,Julie Johnson,NEW,D,,Julie,Elizabeth,Johnson,,F,1966-05-02,H4TX32089,https://en.wikipedia.org/wiki/Julie_Johnson_(politician)
TX33,V000131,Marc Veasey,,D,D,Marc,A.,Veasey,,M,,,
TX34,G000581,Vicente Gonzalez,,D,D,Vicente,,Gonzalez,,M,,,
TX35,C001131,Greg Casar,,D,D,Greg,,Casar,,M,,,
TX36,B001291,Brian Babin,,R,R,Brian,,Babin,,M,,,
TX37,D000399,Lloyd Doggett,,D,D,Lloyd,,Doggett,,M,,,
TX38,H001095,Wesley Hunt,,R,R,Wesley,,Hunt,,M,,,
UT01,M001213,Blake Moore,,R,R,Blake,D.,Moore,,M,,,
UT02,M001228,Celeste Maloy,,R,R,Celeste,,Maloy,,F,,,
UT03,K000403,Mike Kennedy,NEW,R,,Mike,Steven,Kennedy,,M,1969-02-02,H4UT03260,https://en.wikipedia.org/wiki/Mike_Kennedy_(politician)
UT04,O000086,Burgess Owens,,R,R,Burgess,,Owens,,M,,,
VA01,W000804,Robert Wittman,,R,R,Robert,J.,Wittman,,M,,,
VA02,K000399,Jennifer Kiggans,,R,R,Jennifer,A.,Kiggans,,F,,,
VA03,S000185,Robert Scott,,D,D,Robert,"C. ""Bobby""",Scott,,M,,,
VA04,M001227,Jennifer McClellan,,D,D,Jennifer,L.,McClellan,,F,,,
VA05,M001239,John McGuire,NEW,R,,John,J.,McGuire,III,M,1968-08-24,H4VA05071,https://en.wikipedia.org/wiki/John_McGuire_(Virginia_politician)
VA06,C001118,Ben Cline,,R,R,Ben,,Cline,,M,,,
VA07,V000138,Eugene Vindman,NEW,D,,Eugene,Simon,Vindman,,M,1975-06-06,H4VA07234,https://en.wikipedia.org/wiki/Eugene_Vindman
VA08,B001292,Donald Beyer,,D,D,Donald,S.,Beyer,Jr.,M,,,
VA09,G000568,H. Griffith,,R,R,H.,Morgan,Griffith,,M,,,
VA10,S001230,Suhas Subramanyam,NEW,D,,Suhas,,Subramanyam,,M,1986-09-26,H4VA10279,https://en.wikipedia.org/wiki/Suhas_Subramanyam
VA11,C001078,Gerald Connolly,,D,D,Gerald,E.,Connolly,,M,,,
VI00,P000610,Stacey Plaskett,,D,D,Stacey,E.,Plaskett,,F,,,
VT00,B001318,Becca Balint,,D,D,Becca,,Balint,,F,,,
WA01,D000617,Suzan DelBene,,D,D,Suzan,K.,DelBene,,F,,,
WA02,L000560,Rick Larsen,,D,D,Rick,,Larsen,,M,,,
WA03,G000600,Marie Perez,,D,D,Marie,Gluesenkamp,Perez,,F,,,
WA04,N000189,Dan Newhouse,,R,R,Dan,,Newhouse,,M,,,
WA05,B001322,Michael Baumgartner,NEW,R,,Michael,James,Baumgartner,,M,1975-12-13,H4WA05234,https://en.wikipedia.org/wiki/Michael_Baumgartner
WA06,R000621,Emily Randall,NEW,D,,Emily,Elissa,Randall,,F,1985-10-30,H4WA06117,https://en.wikipedia.org/wiki/Emily_Randall
WA07,J000298,Pramila Jayapal,,D,D,Pramila,,Jayapal,,F,,,
WA08,S001216,Kim Schrier,,D,D,Kim,,Schrier,,F,,,
WA09,S000510,Adam Smith,,D,D,Adam,,Smith,,M,,,
WA10,S001159,Marilyn Strickland,,D,D,Marilyn,,Strickland,,F,,,
WI01,S001213,Bryan Steil,,R,R,Bryan,,Steil,,M,,,
WI02,P000607,Mark Pocan,,D,D,Mark,,Pocan,,M,,,
WI03,V000135,Derrick Van Orden,,R,R,Derrick,,Van Orden,,M,,,
WI04,M001160,Gwen Moore,,D,D,Gwen,,Moore,,F,,,
WI05,F000471,Scott Fitzgerald,,R,R,Scott,,Fitzgerald,,M,,,
WI06,G000576,Glenn Grothman,,R,R,Glenn,,Grothman,,M,,,
WI07,T000165,Thomas Tiffany,,R,R,Thomas,P.,Tiffany,,M,,,
WI08,W000829,Tony Wied,,R,R,Tony,,Wied,,M,,,
WV01,M001205,Carol Miller,,R,R,Carol,D.,Miller,,F,,,
WV02,M001235,Riley Moore,NEW,R,,Riley,M.,Moore,,M,1980-07-01,H4WV02205,https://en.wikipedia.org/wiki/Riley_Moore
WY00,H001096,Harriet Hageman,,R,R,Harriet,M.,Hageman,,F,,,
