Race,Incumbent Win? Y/N,GovTrack ID,Party,First Name,Last Name,Middle Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),Bioguide ID,FEC.gov ID,Wikidata ID
OH3,Y,412565,D,Joyce,Beatty,,,,,,H6OH04082,Q976417
OH4,Y,412226,R,Jim,Jordan,,,,,,H6OH04082,Q186215
OH5,Y,412256,R,Bob,Latta,,,,,,H8OH05036,Q888061
OH6,Y,412460,R,Bill,Johnson,,,,,,H0OH06189,Q862215
OH7,N,,R,Max,Miller,Leonard,,M,1988-11-13,,H2OH16051,Q106522145
OH8,Y,412675,R,Warren,Davidson,,,,,,H6OH08315,Q24458117
OH9,Y,400211,D,Marcy,Kaptur,,,,,,H2OH09031,Q436537
OH10,Y,400411,R,Mike,Turner,,,,,,H2OH03067,Q505722
OH11,Y,456863,D,Shontel,Brown,,,,,,H2OH11169,Q107863952
OH12,Y,412747,R,Troy,Balderson,,,,,,H8OH12180,Q16194422
OH13,N,,D,Emilia,Sykes,Strong,,F,1986-01-04,,H2OH13264,Q18637943
OH14,Y,412566,R,David,Joyce,,,,,,H2OH14064,Q976778
OH15,Y,456864,R,Mike,Carey,,,,,,H2OH15228,Q108010312
OK1,Y,412748,R,Kevin,Hern,,,,,,H8OK01157,Q58333614
OK2,N,,R,Josh,Brecheen,Chad,,M,1979-06-19,,H2OK02315,Q6288704
OK3,Y,400247,R,Frank,Lucas,,,,,,H4OK06056,Q246049
OK4,Y,400077,R,Tom,Cole,,,,,,H2OK04055,Q173839
OK5,Y,456841,R,Stephanie,Bice,,,F,1973-11-11,,H0OK05205,Q60190894
OR1,Y,412501,D,Suzanne,Bonamici,,,,,,H2OR01133,Q45946
OR2,Y,456842,R,Cliff,Bentz,Stewart,,M,1952-01-12,,H0OR02127,Q5132536
OR3,Y,400033,D,Earl,Blumenauer,,,,,,H6OR03064,Q748066
OR4,N,,D,Valerie,Hoyle,Anne,,F,1964-02-14,,H2OR04095,Q7909103
OR5,N,,R,Lori,Chavez-DeRemer,Michelle,,F,1968-04-07,,H2OR05209,Q115522128
OR6,N,,D,Andrea,Salinas,Rose,,F,,,H2OR06066,Q39791512
PA1,Y,412721,R,Brian,Fitzpatrick,,,,,,H6PA08277,Q27831059
PA2,Y,412652,D,Brendan,Boyle,,,,,,H4PA13199,Q4960876
PA3,Y,412677,D,Dwight,Evans,,,,,,H6PA02171,Q5318148
PA4,Y,412809,D,Madeleine,Dean,,,,,,H8PA04116,Q6726900
PA5,Y,412750,D,Mary,Scanlon,Gay,,,,,H8PA07200,Q54611716
PA6,Y,412810,D,Chrissy,Houlahan,,,,,,H8PA06087,Q56274180
PA7,Y,412751,D,Susan,Wild,,,,,,H8PA15229,Q58323072
PA8,Y,412571,D,Matthew,Cartwright,,,,,,,
PA9,Y,412811,R,Daniel,Meuser,,,,,,H8PA10147,Q5214012
PA10,Y,412569,R,Scott,Perry,,,,,,H2PA04135,Q7437040
PA11,Y,412722,R,Lloyd,Smucker,,,,,,H6PA16320,Q6662742
PA12,N,,D,Summer,Lee,Lynn,,F,1987-11-26,,H2PA18200,Q56222614
PA13,Y,412812,R,John,Joyce,,,,,,H8PA13125,Q60428839
PA14,Y,412813,R,Guy,Reschenthaler,,,,,,H8PA18199,Q22096097
PA15,Y,412317,R,Glenn,Thompson,,,,,,H8PA05071,Q1531120
PA16,Y,412465,R,Mike,Kelly,,,,,,,Q1431761
PA17,N,,D,Chris,Deluzio,Raphael,,M,,,H2PA17103,Q115181700
PR0,Y,412723,R,Jenniffer,González-Colón,,,,,,,Q16215793
RI1,Y,412470,D,David,Cicilline,,,,,,H0RI01073,Q938498
RI2,N,,D,Seth,Magaziner,Michael,,M,1983-07-22,,H2RI02184,Q16222460
SC1,Y,456843,R,Nancy,Mace,Ruth,,F,1977-12-04,,H0SC01394,Q6962831
SC2,Y,400433,R,Joe,Wilson,,,,,,H2SC02059,Q928855
SC3,Y,412472,R,Jeff,Duncan,,,,,,H0SC03077,Q1027026
SC4,Y,412815,R,William,Timmons,,,,,,H8SC04250,Q28837296
SC5,Y,412738,R,Ralph,Norman,,,,,,H8SC05158,Q7287914
SC6,Y,400075,D,Jim,Clyburn,,,,,,H2SC02042,Q1289889
SC7,N,,R,Russell,Fry,William,,M,1985-01-31,,H2SC07280,Q96015883
SD0,Y,412816,R,Dusty,Johnson,,,,,,H8SD01055,Q30015838
TN1,Y,456844,R,Diana,Harshbarger,,,F,1960-01-01,,H0TN01118,Q101197341
TN2,Y,412817,R,Tim,Burchett,,,,,,H8TN02119,Q7803244
TN3,Y,412476,R,Chuck,Fleischmann,,,,,,H0TN03254,Q521959
TN4,Y,412477,R,Scott,DesJarlais,,,,,,H0TN04195,Q2260839
TN5,N,,R,William,Ogles,Andrew (goes by Andy),IV,M,1971-06-18,,H2TN05446,Q111623114
TN6,Y,412818,R,John,Rose,,,,,,H8TN06094,Q33044040
TN7,Y,412819,R,Mark,Green,,,,,,H8TN07076,Q16224587
TN8,Y,412724,R,David,Kustoff,,,,,,H2TN07103,Q26923148
TN9,Y,412236,D,Steve,Cohen,,,,,,H6TN09068,Q512330
TX1,N,,R,Nathaniel,Moran,Quentin,,M,1974-07-22,,H2TX01112,Q115137468
TX2,Y,412820,R,Dan,Crenshaw,,,,,,H8TX02166,Q58301995
TX3,N,,R,Keith,Self,Alan,,M,1953-03-20,,H2TX03290,Q115137462
TX4,Y,456845,R,Patrick,Fallon,Edward,,M,1967-12-19,,H0TX04219,Q16196923
TX5,Y,412822,R,Lance,Gooden,,,,,,H8TX05144,Q6483406
TX6,Y,456862,R,Jake,Ellzey,,,,,,H8TX06266,Q105061782
TX7,Y,412824,D,Lizzie,Fletcher,,,,,,H8TX07140,Q58324313
TX8,N,,R,Morgan,Luttrell,Joe,,M,1975-11-07,,H2TX08182,Q115137460
TX9,Y,400653,D,Al,Green,,,,,,H4TX09095,Q749039
TX10,Y,400654,R,Michael,McCaul,,,,,,H4TX10093,Q539509
TX11,Y,456846,R,August,Pfluger,Lee,II,M,1978-12-28,,H0TX11230,Q101196462
TX12,Y,400157,R,Kay,Granger,,,,,,H6TX12060,Q468807
TX13,Y,456847,R,Ronny,Jackson,Lynn,,M,1967-05-04,,H0TX13228,Q47270118
TX14,Y,412574,R,Randy,Weber,,,,,,H2TX14149,Q4014569
TX15,N,,R,Mónica,De La Cruz,,,F,1974-11-11,,H0TX15124,Q115496109
TX16,Y,412825,D,Veronica,Escobar,,,,,,H8TX16109,Q52274267
TX17,Y,400367,R,Pete,Sessions,,,,,,H2TX03126,Q437852
TX18,Y,400199,D,Sheila,Jackson Lee,,,,,,H4TX18054,Q461734
TX19,Y,412726,R,Jodey,Arrington,,,,,,H6TX19099,Q6207815
TX20,Y,412576,D,Joaquin,Castro,,,,,,H2TX35011,Q1167934
TX21,Y,412826,R,Chip,Roy,,,,,,H8TX21307,Q58333615
TX22,Y,456848,R,Troy,Nehls,E.,,M,1968-04-07,,H0TX22302,Q96741441
TX23,Y,456849,R,Tony,Gonzales,Anthony,II,M,1980-10-10,,H0TX35015,Q104648170
TX24,Y,456850,R,Beth,Van Duyne,Ann,,F,1970-11-16,,H0TX24209,Q66309702
TX25,Y,412578,R,Roger,Williams,,,,,,H2TX33040,Q4014560
TX26,Y,400052,R,Michael,Burgess,,,,,,H2TX26093,Q539521
TX27,Y,412746,R,Michael,Cloud,,,,,,H8TX27049,Q55313952
TX28,Y,400657,D,Henry,Cuellar,,,,,,H2TX23082,Q539562
TX29,Y,412827,D,Sylvia,Garcia,,,,,,H8TX29052,Q13562489
TX30,N,,D,Jasmine,Crockett,Felicia,,F,1981-03-29,,H2TX30178,Q101428652
TX31,Y,400068,R,John,Carter,,,,,,H2TX31044,Q369814
TX32,Y,412828,D,Colin,Allred,,,,,,H8TX32098,Q5144845
TX33,Y,412579,D,Marc,Veasey,,,,,,H2TX33073,Q4068811
TX34,Y,412725,D,Vicente,Gonzalez,,,,,,H6TX15162,Q27924921
TX35,N,,D,Gregorio,Casar,Eduardo,,M,1989-05-04,,H2TX35144,Q104148369
TX36,Y,412655,R,Brian,Babin,,,,,,H6TX02079,Q16979824
TX37,N,400111,D,Lloyd,Doggett,,,,,,H4TX10028,Q363817
TX38,N,,R,Wesley,Hunt,Parish,,M,1981-11-13,,H0TX07170,Q110434665
UT1,Y,456851,R,Blake,Moore,David,,M,1980-06-22,,H0UT01205,Q101196971
UT2,Y,412581,R,Chris,Stewart,,,,,,H2UT02324,Q4068880
UT3,Y,412740,R,John,Curtis,,,,,,H8UT03238,Q6253810
UT4,Y,456852,R,Clarence,Owens,Burgess,,M,1951-08-02,,H0UT04076,Q4998602
VA1,Y,412255,R,Rob,Wittman,,,,,,H8VA01147,Q541251
VA2,N,,R,Jennifer,Kiggans,Ann,,F,1971-06-18,,H2VA02064,Q83119566
VA3,Y,400364,D,Robert,Scott,,,,,,H6VA01117,Q888668
VA4,Vacant,,,,,,,,,,,
VA5,Y,456853,R,Bob,Good,G.,,M,1965-09-11,,H0VA05160,Q103850475
VA6,Y,412832,R,Ben,Cline,,,,,,H8VA06104,Q4885439
VA7,Y,412833,D,Abigail,Spanberger,,,,,,H8VA07094,Q55603085
VA8,Y,412657,D,Don,Beyer,,,,,,H4VA08224,Q3036086
VA9,Y,412485,R,Morgan,Griffith,,,,,,H0VA09055,Q1684857
VA10,Y,412834,D,Jennifer,Wexton,,,,,,H8VA10106,Q16206735
VA11,Y,412272,D,Gerry,Connolly,,,,,,H8VA11062,Q1514859
VI0,Y,412659,D,Stacey,Plaskett,,,,,,H2VI00082,Q18739104
VT0,N,,D,Becca,Balint,A.,,F,1968-05-04,,H2VT01076,Q28137193
WA1,Y,412505,D,Suzan,DelBene,,,,,,H0WA08046,Q2091892
WA2,Y,400232,D,Rick,Larsen,,,,,,H0WA02080,Q503529
WA3,N,,D,Kristina,Gluesenkamp Perez,Marie (goes by),,F,1988-06-06,,H2WA03217,Q113686944
WA4,Y,412660,R,Dan,Newhouse,,,,,,H4WA04104,Q16733285
WA5,Y,400659,R,Cathy,McMorris Rodgers,,,,,,H4WA05077,Q293343
WA6,Y,412583,D,Derek,Kilmer,,,,,,H2WA06129,Q4068828
WA7,Y,412730,D,Pramila,Jayapal,,,,,,H6WA07458,Q18978140
WA8,Y,412835,D,Kim,Schrier,,,,,,H8WA08189,Q58333616
WA9,Y,400379,D,Adam,Smith,,,,,,H6WA09025,Q350916
WA10,Y,456854,D,Marilyn,Strickland,,,F,1962-09-25,,H0WA10034,Q1898180
WI1,Y,412836,R,Bryan,Steil,,,,,,H8WI01156,Q58494431
WI2,Y,412585,D,Mark,Pocan,,,,,,H2WI02124,Q1900355
WI3,N,,R,Derrick,Van Orden,Francis,,M,1969-09-15,,H0WI03175,Q115155627
WI4,Y,400661,D,Gwen,Moore,,,,,,H4WI04183,Q461698
WI5,Y,456855,R,Scott,Fitzgerald,L.,,M,1963-11-16,,H0WI05113,Q7436650
WI6,Y,412661,R,Glenn,Grothman,,,,,,H4WI06048,Q5568836
WI7,Y,456791,R,Tom,Tiffany,,,,,,H0WI07101,Q7817838
WI8,Y,412731,R,Mike,Gallagher,,,,,,H6WI08155,Q27842981
WV1,Y,412837,R,Carol,Miller,,,,,,H8WV03097,Q16145531
WV2,Y,412662,R,Alex,Mooney,,,,,,H4WV02080,Q4718026
WY0,N,,R,Harriet,Hageman,Maxine,,F,1962-10-18,,H2WY00166,Q110815967
