chamber,member_id,previous_member,party,new_id,new_member,winner_party,date_of_birth,gender,state_abbrev,district,new_fec_cand_id
House,R000585,Tom Reed,R,R000585,Tom Reed,R,11/18/1971,M,NY,23,
House,M001171,Dan Maffei,R,,John Katko,R,11/9/1962,M,NY,24,H4NY24073
House,S000480,Louise M. Slaughter,D,S000480,Louise M. Slaughter,D,8/14/2029,M,NY,25,
House,H001038,Brian Higgins,D,H001038,Brian Higgins,D,10/6/1959,M,NY,26,
House,C001092,Chris Collins,R,C001092,Chris Collins,R,5/20/1950,M,NY,27,
House,C000266,Steven J. Chabot,R,C000266,Steven J. Chabot,R,1/22/1953,M,OH,1,
House,W000815,Brad Wenstrup,R,W000815,Brad Wenstrup,R,6/17/1958,M,OH,2,
House,B001281,Joyce Beatty,D,B001281,Joyce Beatty,D,3/12/1950,F,OH,3,
House,J000289,Jim Jordan,R,J000289,Jim Jordan,R,2/17/1964,M,OH,4,
House,L000566,Robert E. Latta,R,L000566,Robert E. Latta,R,4/18/1956,M,OH,5,
House,J000292,Bill Johnson,R,J000292,Bill Johnson,R,11/10/1954,M,OH,6,
House,G000563,Bob Gibbs,R,G000563,Bob Gibbs,R,6/14/1954,M,OH,7,
House,B000589,John A. Boehner,R,B000589,John A. Boehner,R,11/17/1949,M,OH,8,
House,K000009,Marcy Kaptur,D,K000009,Marcy Kaptur,D,6/17/1946,F,OH,9,
House,T000463,Michael R. Turner,R,T000463,Michael R. Turner,R,1/11/1960,M,OH,10,
House,F000455,Marcia L. Fudge,D,F000455,Marcia L. Fudge,D,10/29/1952,F,OH,11,
House,T000462,Pat Tiberi,R,T000462,Pat Tiberi,R,10/21/1962,M,OH,12,
House,R000577,Tim Ryan,D,R000577,Tim Ryan,D,7/16/1973,M,OH,13,
House,J000295,Dave Joyce,R,J000295,Dave Joyce,R,3/17/1957,M,OH,14,
House,S001187,Steve Stivers,R,S001187,Steve Stivers,R,3/24/1965,M,OH,15,
House,R000586,Jim Renacci,R,R000586,Jim Renacci,R,12/3/1958,M,OH,16,
House,B001283,Jim Bridenstine,R,B001283,Jim Bridenstine,R,6/15/1975,M,OK,1,
House,M001190,Markwayne Mullin,R,M001190,Markwayne Mullin,R,7/26/1977,M,OK,2,
House,L000491,Frank D. Lucas,R,L000491,Frank D. Lucas,R,1/6/1960,M,OK,3,
House,C001053,Tom  Cole,R,C001053,Tom  Cole,R,4/28/1949,M,OK,4,
House,L000575,James Lankford,R,,Steve Russell,R,5/25/1963,M,OK,5,H4OK05132
House,B001278,Suzanne Bonamici,D,B001278,Suzanne Bonamici,D,10/14/1954,F,OR,1,
House,W000791,Greg Walden,R,W000791,Greg Walden,R,1/10/1957,M,OR,2,
House,B000574,Earl Blumenauer,D,B000574,Earl Blumenauer,D,8/16/1948,M,OR,3,
House,D000191,Peter A. DeFazio,D,D000191,Peter A. DeFazio,D,5/27/1947,M,OR,4,
House,S001180,Kurt Schrader,D,S001180,Kurt Schrader,D,10/19/1951,M,OR,5,
House,B001227,Robert A. Brady,D,B001227,Robert A. Brady,D,4/7/1945,M,PA,1,
House,F000043,Chaka Fattah,D,F000043,Chaka Fattah,D,11/21/1956,M,PA,2,
House,K000376,Mike Kelly,R,K000376,Mike Kelly,R,5/10/1948,M,PA,3,
House,P000605,Scott Perry,R,P000605,Scott Perry,R,5/27/1962,M,PA,4,
House,T000467,Glenn Thompson,R,T000467,Glenn Thompson,R,7/27/1959,M,PA,5,
House,G000549,Jim Gerlach,R,,Ryan Costello,R,9/7/1976,M,PA,6,H0PA06076
House,M001181,Pat Meehan,R,M001181,Pat Meehan,R,10/20/1955,M,PA,7,
House,F000451,Michael G. Fitzpatrick,R,F000451,Michael G. Fitzpatrick,R,6/28/1963,M,PA,8,
House,S001154,Bill Shuster,R,S001154,Bill Shuster,R,1/10/1960,M,PA,9,
House,M001179,Tom Marino,R,M001179,Tom Marino,R,8/15/1952,M,PA,10,
House,B001269,Lou Barletta,R,B001269,Lou Barletta,R,1/28/1956,M,PA,11,
House,R000598,Keith Rothfus,R,R000598,Keith Rothfus,R,4/25/1962,M,PA,12,
House,S001162,Allyson Y. Schwartz,D,,Brendan Boyle,D,2/6/1977,M,PA,13,H4PA13199
House,D000482,Mike Doyle,D,D000482,Mike Doyle,D,8/5/1953,M,PA,14,
House,D000604,Charlie Dent,R,D000604,Charlie Dent,R,5/24/1960,M,PA,15,
House,P000373,Joe Pitts,R,P000373,Joe Pitts,R,10/10/1939,M,PA,16,
House,C001090,Matt Cartwright,D,C001090,Matt Cartwright,D,5/1/1961,M,PA,17,
House,M001151,Tim Murphy,R,M001151,Tim Murphy,R,9/11/1952,M,PA,18,
House,C001084,David Cicilline,D,C001084,David Cicilline,D,7/15/1961,M,RI,1,
House,L000559,Jim Langevin,D,L000559,Jim Langevin,D,4/22/1964,M,RI,2,
House,S000051,Mark Sanford,R,S000051,Mark Sanford,R,5/28/1960,M,SC,1,
House,W000795,Joe Wilson,R,W000795,Joe Wilson,R,7/31/1947,M,SC,2,
House,D000615,Jeffrey Duncan,R,D000615,Jeffrey Duncan,R,1/7/1966,M,SC,3,
House,G000566,Trey Gowdy,R,G000566,Trey Gowdy,R,8/22/1964,M,SC,4,
House,M001182,Mick Mulvaney,R,M001182,Mick Mulvaney,R,7/21/1967,M,SC,5,
House,C000537,James E. Clyburn,D,C000537,James E. Clyburn,D,7/21/1940,M,SC,6,
House,R000597,Tom Rice,R,R000597,Tom Rice,R,8/4/1957,M,SC,7,
House,N000184,Kristi Noem,R,N000184,Kristi Noem,R,11/30/1971,F,SD,AL,
House,R000582,Phil Roe,R,R000582,Phil Roe,R,7/21/1945,M,TN,1,
House,D000533,John J. Duncan Jr.,R,D000533,John J. Duncan Jr.,R,7/21/1947,M,TN,2,
House,F000459,Chuck Fleischmann,R,F000459,Chuck Fleischmann,R,10/11/1962,M,TN,3,
House,D000616,Scott DesJarlais,R,D000616,Scott DesJarlais,R,2/21/1964,M,TN,4,
House,C000754,Jim Cooper,D,C000754,Jim Cooper,D,6/19/1954,M,TN,5,
House,B001273,Diane Black,R,B001273,Diane Black,R,1/16/1951,F,TN,6,
House,B001243,Marsha Blackburn,R,B001243,Marsha Blackburn,R,6/6/1952,F,TN,7,
House,F000458,Stephen Fincher,R,F000458,Stephen Fincher,R,2/7/1973,M,TN,8,
House,C001068,Steve Cohen,D,C001068,Steve Cohen,D,5/24/1949,M,TN,9,
House,G000552,Louie Gohmert,R,G000552,Louie Gohmert,R,8/18/1953,M,TX,1,
House,P000592,Ted Poe,R,P000592,Ted Poe,R,10/13/1948,M,TX,2,
House,J000174,Sam Johnson,R,J000174,Sam Johnson,R,10/11/1930,M,TX,3,
House,H000067,Ralph M. Hall,R,,John Ratcliffe,R,10/20/1965,M,TX,4,H4TX04153
House,H001036,Jeb Hensarling,R,H001036,Jeb Hensarling,R,5/29/1957,M,TX,5,
House,B000213,Joe L. Barton,R,B000213,Joe L. Barton,R,9/15/1949,M,TX,6,
House,C001048,John Culberson,R,C001048,John Culberson,R,8/24/1956,M,TX,7,
House,B000755,Kevin Brady,R,B000755,Kevin Brady,R,4/11/1955,M,TX,8,
House,G000553,Al Green,D,G000553,Al Green,D,9/1/1947,M,TX,9,
House,M001157,Michael McCaul,R,M001157,Michael McCaul,R,1/14/1962,M,TX,10,
House,C001062,K. Michael Conaway,R,C001062,K. Michael Conaway,R,6/11/1948,M,TX,11,
House,G000377,Kay Granger,R,G000377,Kay Granger,R,1/18/1943,F,TX,12,
House,T000238,William M. Thornberry,R,T000238,William M. Thornberry,R,7/15/1958,M,TX,13,
House,W000814,Randy Weber,R,W000814,Randy Weber,R,7/2/1953,M,TX,14,
House,H000636,Rubí©n Hinojosa,D,H000636,Ruben Hinojosa,D,8/20/1940,M,TX,15,
House,O000170,Beto O'Rourke,D,O000170,Beto O'Rourke,D,9/26/1972,M,TX,16,
House,F000461,Bill Flores,R,F000461,Bill Flores,R,2/25/1954,M,TX,17,
House,J000032,Sheila Jackson-Lee,D,J000032,Sheila Jackson-Lee,D,1/12/1950,F,TX,18,
House,N000182,Randy Neugebauer,R,N000182,Randy Neugebauer,R,12/24/1949,M,TX,19,
House,C001091,Joaquin Castro,D,C001091,Joaquin Castro,D,9/16/1974,M,TX,20,
House,S000583,Lamar Smith,R,S000583,Lamar Smith,R,11/19/1947,M,TX,21,
House,O000168,Pete Olson,R,O000168,Pete Olson,R,12/9/1962,M,TX,22,
House,G000572,Pete Gallego,R,,Will Hurd,R,8/19/1977,M,TX,23,H0TX23086
House,M001158,Kenny Marchant,R,M001158,Kenny Marchant,R,2/23/1951,M,TX,24,
House,W000816,Roger Williams,R,W000816,Roger Williams,R,9/13/1949,M,TX,25,
House,B001248,Michael C. Burgess,R,B001248,Michael C. Burgess,R,12/23/1950,M,TX,26,
House,F000460,Blake Farenthold,R,F000460,Blake Farenthold,R,12/12/1962,M,TX,27,
House,C001063,Henry Cuellar,D,C001063,Henry Cuellar,D,9/19/1955,M,TX,28,
House,G000410,Gene Green,D,G000410,Gene Green,D,10/17/1947,M,TX,29,
House,J000126,Eddie Bernice Johnson,D,J000126,Eddie Bernice Johnson,D,12/3/1935,F,TX,30,
House,C001051,John Carter,R,C001051,John Carter,R,11/6/1941,M,TX,31,
House,S000250,Pete Sessions,R,S000250,Pete Sessions,R,3/22/1955,M,TX,32,
House,V000131,Marc Veasey,D,V000131,Marc Veasey,D,1/3/1971,M,TX,33,
House,V000132,Filemon Vela,D,V000132,Filemon Vela,D,2/13/1963,M,TX,34,
House,D000399,Lloyd Doggett,D,D000399,Lloyd Doggett,D,10/6/1946,M,TX,35,
House,S000937,Steve Stockman,R,,Brian Babin,R,3/23/1948,M,TX,36,H6TX02079
House,B001250,Rob Bishop,R,B001250,Rob Bishop,R,7/13/1951,M,UT,1,
House,S001192,Chris Stewart,R,S001192,Chris Stewart,R,7/15/1960,M,UT,2,
House,C001076,Jason Chaffetz,R,C001076,Jason Chaffetz,R,3/26/1967,M,UT,3,
House,M001142,Jim Matheson,R,,Mia Love,R,12/6/1975,F,UT,4,H2UT04023
House,W000804,Robert J. Wittman,R,W000804,Robert J. Wittman,R,2/3/1959,M,VA,1,
House,R000589,Scott Rigell,R,R000589,Scott Rigell,R,5/28/1960,M,VA,2,
House,S000185,Robert C. Scott,D,S000185,Robert C. Scott,D,4/30/1947,M,VA,3,
House,F000445,J. Randy Forbes,R,F000445,J. Randy Forbes,R,2/17/1952,M,VA,4,
House,H001060,Robert Hurt,R,H001060,Robert Hurt,R,6/16/1969,M,VA,5,
House,G000289,Robert W. Goodlatte,R,G000289,Robert W. Goodlatte,R,9/22/1952,M,VA,6,
House,C001046,Eric Cantor,R,B001290,Dave Brat,R,7/27/1964,M,VA,7,
House,M000933,James P. Moran,D,,Donald Beyer,D,6/20/1950,M,VA,8,H4VA08224
House,G000568,Morgan Griffith,R,G000568,Morgan Griffith,R,3/15/1958,M,VA,9,
House,W000672,Frank R. Wolf,R,,Barbara Comstock,R,6/30/1959,F,VA,10,H4VA10089
House,C001078,Gerald E. Connolly,D,C001078,Gerald E. Connolly,D,3/30/1950,M,VA,11,
House,C000380,Donna Christensen,D,,Stacey Plaskett,D,,F,VI,AL,H2VI00082
House,W000800,Peter Welch,D,W000800,Peter Welch,D,5/2/1947,M,VT,AL,
House,D000617,Suzan K. DelBene,D,D000617,Suzan K. DelBene,D,2/17/1962,F,WA,1,
House,L000560,Rick Larsen,D,L000560,Rick Larsen,D,6/15/1965,M,WA,2,
House,H001056,Jaime Herrera Beutler,R,H001056,Jaime Herrera Beutler,R,11/3/1978,F,WA,3,
House,H000329,Doc Hastings,R,,Dan Newhouse,R,7/10/1955,M,WA,4,H4WA04104
House,M001159,Cathy McMorris Rodgers,R,M001159,Cathy McMorris Rodgers,R,5/22/1969,F,WA,5,
House,K000381,Derek Kilmer,D,K000381,Derek Kilmer,D,1/1/1974,M,WA,6,
House,M000404,Jim McDermott,D,M000404,Jim McDermott,D,12/28/1936,M,WA,7,
House,R000578,Dave Reichert,R,R000578,Dave Reichert,R,8/29/1950,M,WA,8,
House,S000510,Adam Smith,D,S000510,Adam Smith,D,6/15/1965,M,WA,9,
House,H001064,Denny Heck,D,H001064,Denny Heck,D,7/29/1952,M,WA,10,
House,R000570,Paul D. Ryan,R,R000570,Paul D. Ryan,R,1/29/1970,M,WI,1,
House,P000607,Mark Pocan,D,P000607,Mark Pocan,D,8/14/1964,M,WI,2,
House,K000188,Ron Kind,D,K000188,Ron Kind,D,3/16/1963,M,WI,3,
House,M001160,Gwen Moore,D,M001160,Gwen Moore,D,4/18/1951,F,WI,4,
House,S000244,F. James Sensenbrenner,R,S000244,F. James Sensenbrenner,R,6/14/1943,M,WI,5,
House,P000265,Tom Petri,R,,Glenn Grothman,R,7/3/1955,M,WI,6,H4WI06048
House,D000614,Sean Duffy,R,D000614,Sean Duffy,R,10/3/1971,M,WI,7,
House,R000587,Reid Ribble,R,R000587,Reid Ribble,R,4/5/1956,M,WI,8,
House,M001180,David McKinley,R,M001180,David McKinley,R,3/28/1947,M,WV,1,
House,C001047,Shelley Moore Capito,R,,Alex Mooney,R,6/5/1971,M,WV,2,H4WV02080
House,R000011,Nick J. Rahall II,R,,Evan Jenkins,R,9/12/1960,M,WV,3,H4WV03070
House,L000571,Cynthia M. Lummis,R,L000571,Cynthia M. Lummis,R,9/10/1954,F,WY,AL,
House,P000596,Pedro Pierluisi,D,P000596,Pedro Pierluisi,D,4/26/1959,M,PR,AL,
House,N000147,Eleanor Holmes Norton,D,N000147,Eleanor Holmes Norton,D,6/13/1937,F,DC,AL,
House,F000010,Eni Faleomavaega,D,,Aumua Amata,R,,F,AS,AL,H4AS00036
Senate,A000360,Lamar  Alexander,R,A000360,Lamar  Alexander,R,7/3/1940,M,TN,Class II,
Senate,B001265,Mark Begich,D,,Dan Sullivan,R,11/13/1964,M,AK,Class II,S4AK00214
Senate,B001288,Cory  Booker,D,B001288,Cory  Booker,D,4/27/1969,M,NJ,Class II,
Senate,C000286,Saxby Chambliss,R,,David Perdue,R,12/10/1949,M,GA,Class II,S4GA11285
Senate,C000567,Thad Cochran,R,C000567,Thad Cochran,R,12/7/1937,M,MS,Class II,
Senate,C001035,Susan Collins,R,C001035,Susan Collins,R,12/7/1952,F,ME,Class II,
Senate,C001056,John Cornyn,R,C001056,John Cornyn,R,2/2/1952,M,TX,Class II,
Senate,C001088,Christopher A. Coons,D,C001088,Christopher A. Coons,D,9/9/1963,M,DE,Class II,
Senate,D000563,Richard J. Durbin,D,D000563,Richard J. Durbin,D,11/21/1944,M,IL,Class II,
Senate,E000285,Michael B. Enzi,R,E000285,Michael B. Enzi,R,2/1/1944,M,WY,Class II,
Senate,F000457,Al Franken,D,F000457,Al Franken,D,5/21/1951,M,MN,Class II,
Senate,G000359,Lindsey Graham,R,G000359,Lindsey Graham,R,7/9/1955,M,SC,Class II,
Senate,H000206,Tom Harkin,D,,Joni Ernst,R,7/1/1970,F,IA,Class II,S4IA00129
Senate,H001049,Kay Hagan,D,,Thom Tillis,R,8/30/1960,M,NC,Class II,S4NC00162
Senate,I000024,James M. Inhofe,R,I000024,James M. Inhofe,R,11/17/1934,M,OK,Class II,
Senate,J000177,Tim Johnson,D,,Mike Rounds,R,10/24/1954,M,SD,Class II,S4SD00049
Senate,J000291,Mike Johanns,R,J000291,Mike Johanns,R,6/18/1950,M,NE,Class II,
Senate,L000261,Carl Levin,D,P000595,Gary Peters,D,12/1/1958,M,MI,Class II,
Senate,L000550,Mary L. Landrieu,D,C001075,Bill Cassidy,R,,,LA,Class II,
Senate,M000133,Edward J. Markey,D,M000133,Edward J. Markey,D,7/11/1946,M,MA,Class II,
Senate,M000355,Mitch McConnell,R,M000355,Mitch McConnell,R,2/20/1942,M,KY,Class II,
Senate,M001176,Jeff Merkley,D,M001176,Jeff Merkley,D,10/24/1956,M,OR,Class II,
Senate,P000590,Mark Pryor,D,C001095,Tom Cotton,R,5/13/1977,M,AR,Class II,
Senate,R000122,Jack Reed,D,R000122,Jack Reed,D,11/12/1949,M,RI,Class II,
Senate,R000307,Pat Roberts,R,R000307,Pat Roberts,R,4/20/1936,M,KS,Class II,
Senate,R000361,John D. Rockefeller IV,D,C001047,Shelley Moore Capito,R,11/26/1953,F,WV,Class II,
Senate,R000584,Jim Risch,R,R000584,Jim Risch,R,5/3/1943,M,ID,Class II,
Senate,S001141,Jeff Sessions,R,S001141,Jeff Sessions,R,12/24/1946,M,AL,Class II,
Senate,S001181,Jeanne Shaheen,D,S001181,Jeanne Shaheen,D,1/28/1947,F,NH,Class II,
Senate,U000038,Mark Udall,D,G000562,Cory Gardner,R,8/22/1974,M,CO,Class II,
Senate,U000039,Tom Udall,D,U000039,Tom Udall,D,5/18/1948,M,NM,Class II,
Senate,W000805,Mark Warner,D,W000805,Mark Warner,D,12/15/1954,M,VA,Class II,
Senate,W000818,John  Walsh,D,D000618,Steve Daines,R,8/20/1962,M,MT,Class II,
Senate,C000560,Tom Coburn,R,L000575,James Lankford,R,3/4/1968,M,OK,Class III,
Senate,S001184,Tim Scott,R,S001184,Tim Scott,R,9/19/1965,M,SC,Class III,
Senate,S001194,Brian Schatz,D,S001194,Brian Schatz,D,10/20/1972,M,HI,Class III,
